Кратер на обратной стороне Луны назван в честь китайского чиновника, который был (предположительно) первым человеком, побывавшим в космосе. Как его звали?,Ван Ху
Уменьшение какого из следующих показателей может указывать на увеличение близости к состоянию вакуума?,Атмосферное давление
Из какого материала сделан человеческий ноготь?,Альфа-кератин
Робот не может причинять вред человеку или своим бездействием допустить причинение вреда человеку. Что это за «Три закона робототехники» Айзека Азимова?,Закон первый
Согласно греческой мифологии, какие два бога превратились в «рыбу» в символе Рыб?,Афродита и Эрос
Согласно хронологии майя, поздний доклассический период относится к:,С 1 г. до н.э. по 159 г. н.э.
Согласно сказке о волчице в римской мифологии, что случилось с близнецами, которых она вскормила, Ромулом и Ремом?,Ромул стал основателем и первым царем Рима
По данным World Athletics, какой из них НЕ является официальным международным весом диска?,1,25 кг
Какие из этих достижений открываются при получении командора Вильгельма I?,Путь Славы
К преимуществам печатного станка Иоганна Гутенберга можно отнести все нижеперечисленное, кроме чего?,Усиление церковной власти
После того, как венерина мухоловка ловит насекомое, как она переваривает и поглощает добычу?,Внутренние створки листьев выделяют пищеварительную жидкость
После своего основания в VI веке до н.э., какой институт Римской республики служил консультативным парламентом?,Сенат
После того, как Затерянное Королевство откроется, какой предмет вам нужно потратить, чтобы телепортироваться в Затерянное Королевство и обратно?,Случайный телепорт
После того, как ученики Лицея Мудрости закончат свои уроки, в какое здание в вашем городе они возвращаются?,Академия
Послесвечение вызывается:,Рассеяние света в воздухе
Помощь Альянса НЕ может ускорить какое из следующих действий?,Подготовка войск
Аметист ценится за свой блестящий фиолетовый оттенок. Из какого минерала она разновидность?,Кварц
Кроме «Количества разведчиков» и «Силы», какие из следующих параметров Скаутского лагеря также можно улучшить?,Скорость марша разведчика и дальность исследования
Помимо «Времени, когда вам можно помочь» и «Силы», какие из следующих параметров Центра альянсов также можно улучшить?,Вместимость войск подкрепления
Сколько раз Шакира выступала на церемонии закрытия ЧМ-2018?,3.0
По состоянию на чемпионат мира 2018 года, сколько чемпионатов мира выиграла Бразилия?,5.0
По состоянию на чемпионат мира 2018 года, каков лучший результат Соединенных Штатов на чемпионате мира за всю историю?,Третье место
По состоянию на чемпионат мира 2018 года, какой игрок является рекордсменом по количеству голов, забитых в одном матче чемпионата мира с пятью голами?,Олег Саленко
Кто является рекордсменом по количеству голов, забитых на чемпионате мира по футболу 2018 года?,Мирослав Клозе
На чемпионате мира 2018 года, кому принадлежит рекорд чемпионата мира по самому быстрому голу, забитому за 11 секунд?,Хакан Шюкюр
По состоянию на чемпионат мира по футболу 2022 года, сколько стран выиграли чемпионат мира?,8.0
По состоянию на 21-й чемпионат мира, кто является единственным игроком, который сделал хет-трик на 2 разных чемпионатах мира?,Габриэль Батистута
Ашока Великий был царем какого древнеиндийского царства?,Маурья
Если предположить отсутствие каких-либо других специальных баффов, то у кого из этих командиров самая высокая скорость марша?,Велизарий
На каком уровне ставка транспортного налога для торговых постов становится 10%?,24.0
На каком VIP-уровне вы можете приобрести специальный VIP-сундук, в котором содержится достаточное количество скульптур Ганнибала Барсы, чтобы пробудить его?,14.0
На каком VIP-уровне вы навсегда разблокируете вторую очередь строительства?,Уровень 6
Бутан также известен как Земля Громового Дракона. Какова его столица и крупнейший город?,Тхимпху
В какой из следующих стран находится Биг-Бен?,Великобритания
Шварцвальдский торт – знаменитый европейский десерт. В какой стране находится Шварцвальд, от которого он получил свое название?,Германия
Босса-нова – популярный жанр музыки, родом из какой страны?,Бразилия
Каким витамином богата брокколи?,Витамин С
Под каким еще названием Ceroli Chieftains Ak & Hok также известны?,Астральные Близнецы
Под каким еще названием известен октябрь по старому японскому календарю?,Каннадзуки
Под каким другим именем также известен вождь Чероли Вафура?,Волчья тень
Колючки кактуса на самом деле являются видоизмененной формой какой другой части растения?,Листва
В какой стране находится регион Шампани?,Франция
Из какого материала Чарльз Макинтош изготовил очень раннюю версию плаща?,Резина
Китайский формат скетч-комедии берет свое начало в трех местах: Тяньцяо в Пекине, базар Цюанье в Тяньцзине и где в Нанкине?,Фуцзымяо
Тактика ведения боя является важной военной технологией – какой эффект она дает?,Увеличивает Атаку всех юнитов
Какой из следующих типов боевых единиц можно использовать навык командира Бьорна Айронсайда «Повелитель викингов»?,Пехота
В последней книге Дарвина в основном говорилось о влиянии каких видов на почву?,Червей
Диего Веласкес, автор реалистического произведения «Портрет папы Иннокентия X», был родом из какой страны?,Испания
Во время солнечного затмения небесный объект, находящийся между Солнцем и Землей, является:,Луна
Какое государство в период Воюющих царств Китая победило остальные шесть и построило единую китайскую империю?,Цинь
Какой из следующих элементов во время ядерного синтеза производит меньше энергии, чем поглощает?,Железо
Почему в эпоху Возрождения Флоренция была так важна?,Место рождения и символ эпохи Возрождения
Во время Второй Пунической войны, в каком сражении значительно превосходящий по численности Ганнибал победил римскую армию?,Битва при Каннах
Какой греческий воин убил Гектора во время Троянской войны?,Ахилл
Какого цвета была корона фараона Верхнего Египта в период Верхнего и Нижнего Египта?,Белый
Во время правления какого императора был завершен римский Колизей?,Тит
В какое время года ночи относительно короткие, а дни относительно длинные?,Лето
Эдуард VIII стал королем Англии в январе 1936 года. В каком месяце того же года он отказался от престола?,Декабрь
Экономика Египта в первую очередь основывалась на чем?,Сельское хозяйство
Из какого материала египтяне делали бумагу?,Папирус
День Эльбы был встречей двух армий во время Второй мировой войны?,США, СССР
